126500,23/05/07 00:00,TS5 5ET,T,Y,94,CLOUGH CLOSE,,MIDDLESBROUGH,MIDDLESBROUGH,MIDDLESBROUGH
182500,05/03/07 00:00,CW9 8AP,S,N,24,BROCKHURST WAY,,NORTHWICH,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER
390000,13/11/07 00:00,EX6 8JG,D,N,APPLEJACK COTTAGE,SOUTHTOWN,KENTON,EXETER,TEIGNBRIDGE,DEVON
89950,09/11/07 00:00,FY4 3HW,T,N,62,HARCOURT ROAD,,BLACKPOOL,BLACKPOOL,BLACKPOOL
115000,17/08/07 00:00,LN4 4RU,D,N,"JASPERS, 32",LANGRICK ROAD,CONINGSBY,LINCOLN,EAST LINDSEY,LINCOLNSHIRE
195000,31/01/07 00:00,NG32 3SA,T,N,HEATH FARM COTTAGES,MAIN STREET,SUDBROOK,GRANTHAM,SOUTH KESTEVEN,LINCOLNSHIRE
232000,11/05/07 00:00,SE9 6RT,S,N,80,DUNBLANE ROAD,,LONDON,GREENWICH,GREATER LONDON
75000,05/10/07 00:00,NE65 0LF,F,N,23,THE WYND,AMBLE,MORPETH,NORTHUMBERLAND,NORTHUMBERLAND
91000,26/10/07 00:00,NG3 3EY,F,N,27,HAZELBANK AVENUE,,NOTTINGHAM,CITY OF NOTTINGHAM,CITY OF NOTTINGHAM
224000,05/01/07 00:00,DY5 3LA,T,N,UNIT 2A,SILVER END INDUSTRIAL ESTATE,,BRIERLEY HILL,DUDLEY,WEST MIDLANDS
440000,01/08/07 00:00,NE16 4QP,D,N,30B,BROOM LANE,WHICKHAM,NEWCASTLE UPON TYNE,GATESHEAD,TYNE AND WEAR
78950,12/01/07 00:00,CF63 2FH,T,N,132,GLENBROOK DRIVE,,BARRY,THE VALE OF GLAMORGAN,THE VALE OF GLAMORGAN
119995,23/11/07 00:00,CF14 1NT,F,N,16,TYNANT,,CARDIFF,CARDIFF,CARDIFF
85000,03/08/07 00:00,BD11 1BB,D,N,222,WHITEHALL ROAD,DRIGHLINGTON,BRADFORD,LEEDS,WEST YORKSHIRE
154000,12/03/07 00:00,TW8 8DA,T,N,7,UPPER BUTTS,,BRENTFORD,HOUNSLOW,GREATER LONDON
155000,29/06/07 00:00,SA1 7FB,F,Y,14,NAIAD ROAD,COPPER QUARTER,SWANSEA,SWANSEA,SWANSEA
147000,29/06/07 00:00,SA1 7FB,F,Y,18,NAIAD ROAD,COPPER QUARTER,SWANSEA,SWANSEA,SWANSEA
143000,29/06/07 00:00,SA1 7FB,F,Y,16,NAIAD ROAD,COPPER QUARTER,SWANSEA,SWANSEA,SWANSEA
235000,10/08/07 00:00,RM16 6AP,T,N,65,LENNOX CLOSE,CHAFFORD HUNDRED,GRAYS,THURROCK,THURROCK
310000,15/03/07 00:00,GL16 7JW,D,N,CHRISTABELLA,PROSPER LANE,COALWAY,COLEFORD,FOREST OF DEAN,GLOUCESTERSHIRE
315000,27/07/07 00:00,OX10 8FB,F,N,34,WALTER BIGG WAY,,WALLINGFORD,SOUTH OXFORDSHIRE,OXFORDSHIRE
755000,05/12/07 00:00,GU8 5SX,D,N,WILDWOOD,COMBE LANE,WORMLEY,GODALMING,WAVERLEY,SURREY
660000,09/05/07 00:00,SE1 2JU,F,N,THE CIRCLE,QUEEN ELIZABETH STREET,,LONDON,SOUTHWARK,GREATER LONDON
499000,25/05/07 00:00,CV47 2SU,D,N,STAPENHALL FARM,,DEPPERS BRIDGE,SOUTHAM,STRATFORD-ON-AVON,WARWICKSHIRE
132500,10/04/07 00:00,E9 5QA,T,N,33A,MARSH HILL,,LONDON,HACKNEY,GREATER LONDON
87000,07/12/07 00:00,BN17 5JS,F,N,2,GRANVILLE ROAD,,LITTLEHAMPTON,ARUN,WEST SUSSEX
70000,12/01/07 00:00,HU19 2QZ,D,N,BRYONY HOUSE,TAYLOR LANE,HOLMPTON,WITHERNSEA,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE
142500,19/10/07 00:00,BS13 8BY,F,Y,"HIGHRIDGE COURT, 35",HIGHRIDGE GREEN,,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
155000,17/08/07 00:00,S18 3BX,D,N,87,FIRTHWOOD ROAD,COAL ASTON,DRONFIELD,NORTH EAST DERBYSHIRE,DERBYSHIRE
86950,21/12/07 00:00,SK11 6RP,F,N,32,SOUTH PARK ROAD,,MACCLESFIELD,CHESHIRE EAST,CHESHIRE EAST
164000,28/02/07 00:00,M1 5NP,F,N,"THE GREEN BUILDING, 19",NEW WAKEFIELD STREET,,MANCHESTER,MANCHESTER,GREATER MANCHESTER
110000,24/09/07 00:00,PL4 7AG,F,N,"ELM COURT, 13 - 17",WESTERN COLLEGE ROAD,,PLYMOUTH,CITY OF PLYMOUTH,CITY OF PLYMOUTH
149000,23/02/07 00:00,SM6 8QX,F,N,23,CLARENDON ROAD,,WALLINGTON,SUTTON,GREATER LONDON
287000,28/08/07 00:00,RH12 5TW,D,N,33,CHENNELLS WAY,,HORSHAM,HORSHAM,WEST SUSSEX
152500,10/01/07 00:00,BH1 4RN,T,N,47,WINDHAM ROAD,,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH
154000,20/12/07 00:00,GL3 4PT,F,Y,2,DEACON MEWS,BROCKWORTH,GLOUCESTER,TEWKESBURY,GLOUCESTERSHIRE
340000,25/05/07 00:00,SW15 1PG,F,N,72,NORROY ROAD,,LONDON,WANDSWORTH,GREATER LONDON
75995,23/02/07 00:00,LS12 1SN,F,N,1B,SOUTHFIELD TERRACE,,LEEDS,LEEDS,WEST YORKSHIRE
350000,11/12/07 00:00,LE12 8JB,D,N,22B,NOTTINGHAM ROAD,BARROW UPON SOAR,LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE
450000,17/09/07 00:00,SW5 9TT,F,N,9,PENYWERN ROAD,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
510000,20/07/07 00:00,E14 5SQ,F,N,209,BOARDWALK PLACE,,LONDON,TOWER HAMLETS,GREATER LONDON
169500,20/12/07 00:00,HP3 9ES,F,N,ELMCROFT COURT,BURNET CLOSE,,HEMEL HEMPSTEAD,DACORUM,HERTFORDSHIRE
319000,30/07/07 00:00,EN2 8EE,F,N,6,BYCULLAH ROAD,,ENFIELD,ENFIELD,GREATER LONDON
60000,08/01/07 00:00,LS12 1SN,F,N,1D,SOUTHFIELD TERRACE,,LEEDS,LEEDS,WEST YORKSHIRE
150000,10/09/07 00:00,SE18 3AS,F,N,43,PLUMSTEAD COMMON ROAD,,LONDON,GREENWICH,GREATER LONDON
225000,20/12/07 00:00,CF35 6LP,S,N,2,PANT TYWOD,PENCOED,BRIDGEND,BRIDGEND,BRIDGEND
160000,12/09/07 00:00,PE33 0LT,S,N,MANDERLAY,MILL LANE,WEST WINCH,KING'S LYNN,KING'S LYNN AND WEST NORFOLK,NORFOLK
137000,22/10/07 00:00,CH45 7NB,S,N,42,STRATHCONA ROAD,,WALLASEY,WIRRAL,MERSEYSIDE
190000,29/05/07 00:00,SE14 6DG,F,N,1A,CHILDERIC ROAD,,LONDON,LEWISHAM,GREATER LONDON
139950,11/05/07 00:00,LN5 8NZ,F,Y,4,WILLOW TREE CLOSE,,LINCOLN,LINCOLN,LINCOLNSHIRE
230000,31/05/07 00:00,NW6 7RR,F,N,85A,WILLESDEN LANE,,LONDON,BRENT,GREATER LONDON
140000,20/04/07 00:00,LD3 7DU,D,N,THE MYRTLES,DAN Y GAER ROAD,,BRECON,POWYS,POWYS
125000,27/04/07 00:00,SA18 3PR,S,Y,PARC GWERNEN,FFOREST FACH,TYCROES,AMMANFORD,CARMARTHENSHIRE,CARMARTHENSHIRE
185000,08/10/07 00:00,EX17 4NJ,T,N,4A,SNOWS ESTATE,SANDFORD,CREDITON,MID DEVON,DEVON
149000,19/11/07 00:00,HP3 9ES,F,N,ELMCROFT COURT,BURNET CLOSE,,HEMEL HEMPSTEAD,DACORUM,HERTFORDSHIRE
175000,27/04/07 00:00,TF10 9EN,S,N,7,THE WOODLANDS,LILLESHALL,NEWPORT,WREKIN,WREKIN
247500,01/08/07 00:00,E1 4EQ,F,N,32B,ARGYLE ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
131000,29/06/07 00:00,SA1 7FA,F,Y,47,BRUNEL WAY,COPPER QUARTER,SWANSEA,SWANSEA,SWANSEA
140000,29/06/07 00:00,SA1 7FB,F,Y,12,NAIAD ROAD,COPPER QUARTER,SWANSEA,SWANSEA,SWANSEA
176000,16/07/07 00:00,HA4 7ST,F,N,ROTARY HOUSE,BREAKSPEAR ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
531000,07/12/07 00:00,SW1V 3QX,F,N,80,ST GEORGES SQUARE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
337500,04/05/07 00:00,SW13 0PY,F,N,34A,WHITE HART LANE,,LONDON,RICHMOND UPON THAMES,GREATER LONDON
710000,28/09/07 00:00,RG9 4LA,D,N,"WISTERIA COTTAGE, 2",THE HOMESTEAD,BINFIELD HEATH,HENLEY-ON-THAMES,SOUTH OXFORDSHIRE,OXFORDSHIRE
142000,24/07/07 00:00,CR8 5AA,F,N,76A,GODSTONE ROAD,,KENLEY,CROYDON,GREATER LONDON
419950,06/07/07 00:00,NW2 4LP,F,N,52C,CRANHURST ROAD,,LONDON,BRENT,GREATER LONDON
960000,17/12/07 00:00,OL3 5NR,D,N,ARLINGTON HOUSE,STANDEDGE ROAD,DOBCROSS,OLDHAM,OLDHAM,GREATER MANCHESTER
115000,08/11/07 00:00,SY23 3RD,S,N,OLD WORKS,BRIDGE TERRACE,LLANBADARN FAWR,ABERYSTWYTH,CEREDIGION,CEREDIGION
375000,26/04/07 00:00,PR9 0US,D,N,10,POST OFFICE AVENUE,,SOUTHPORT,SEFTON,MERSEYSIDE
161000,06/06/07 00:00,LL30 2RA,F,N,11,TRINITY SQUARE,LLANDUDNO,LLANDUDNO,CONWY,CONWY
85000,07/06/07 00:00,SA31 3RN,D,N,CLOS Y MANOR,,LLANLLWCH,CARMARTHEN,CARMARTHENSHIRE,CARMARTHENSHIRE
114950,24/04/07 00:00,NP12 1FH,D,N,16,SCHOOL WAY,,BLACKWOOD,CAERPHILLY,CAERPHILLY
135000,02/08/07 00:00,SA18 3PR,S,N,PARC GWERNEN,FFOREST FACH,TYCROES,AMMANFORD,CARMARTHENSHIRE,CARMARTHENSHIRE
